Level,Ability,Cost,DamageOrPower,Cooldown,DPSorEfficiency,TotalCost
1,Fireball,10,20,2.00,10.00,10
1,IceShield,20,16,3.00,5.33,20
1,HealingPulse,18,14,4.00,3.50,18
1,EnergyBlast,25,40,5.00,8.00,25
2,Fireball,12,24,1.90,12.63,22
2,IceShield,24,20,2.85,7.02,44
2,HealingPulse,22,18,3.80,4.74,40
2,EnergyBlast,30,48,4.75,10.11,55
3,Fireball,14,28,1.80,15.56,36
3,IceShield,29,24,2.70,8.89,73
3,HealingPulse,26,22,3.60,6.11,66
3,EnergyBlast,36,58,4.50,12.89,91
4,Fireball,17,34,1.70,20.00,53
4,IceShield,35,28,2.55,10.98,108
4,HealingPulse,31,26,3.40,7.65,97
4,EnergyBlast,43,70,4.25,16.47,134
5,Fireball,21,42,1.60,26.25,74
5,IceShield,41,34,2.40,14.17,149
5,HealingPulse,37,32,3.20,10.00,134
5,EnergyBlast,52,84,4.00,21.00,186
