Level,Ability,TimeToAfford,Power,Cooldown,Efficiency,TotalCost
1,Fireball,2.00,20.00,2.00,10.00,10
1,IceShield,4.00,16.00,3.00,5.33,20
1,HealingPulse,3.60,14.00,4.00,3.50,18
1,EnergyBlast,5.00,40.00,5.00,8.00,25
1,NatureResonance,6.00,45.00,6.00,7.50,30
1,TrinityStorm,7.20,70.00,8.00,8.75,36
2,Fireball,2.40,21.33,1.90,11.23,12
2,IceShield,4.80,17.07,2.85,5.99,24
2,HealingPulse,4.40,14.93,3.80,3.93,22
2,EnergyBlast,6.00,42.67,4.75,8.98,30
2,NatureResonance,7.20,48.00,5.70,8.42,36
2,TrinityStorm,8.60,74.67,7.60,9.82,43
3,Fireball,2.80,22.67,1.80,12.59,14
3,IceShield,5.80,18.13,2.70,6.72,29
3,HealingPulse,5.20,15.87,3.60,4.41,26
3,EnergyBlast,7.20,45.33,4.50,10.07,36
3,NatureResonance,8.60,51.00,5.40,9.44,43
3,TrinityStorm,10.40,79.33,7.20,11.02,52
4,Fireball,3.40,24.00,1.70,14.12,17
4,IceShield,7.00,19.20,2.55,7.53,35
4,HealingPulse,6.20,16.80,3.40,4.94,31
4,EnergyBlast,8.60,48.00,4.25,11.29,43
4,NatureResonance,10.40,54.00,5.10,10.59,52
4,TrinityStorm,12.40,84.00,6.80,12.35,62
5,Fireball,4.20,25.33,1.60,15.83,21
5,IceShield,8.20,20.27,2.40,8.44,41
5,HealingPulse,7.40,17.73,3.20,5.54,37
5,EnergyBlast,10.40,50.67,4.00,12.67,52
5,NatureResonance,12.40,57.00,4.80,11.88,62
5,TrinityStorm,15.00,88.67,6.40,13.85,75
6,Fireball,5.00,26.67,1.50,17.78,25
6,IceShield,10.00,21.33,2.25,9.48,50
6,HealingPulse,9.00,18.67,3.00,6.22,45
6,EnergyBlast,12.40,53.33,3.75,14.22,62
6,NatureResonance,15.00,60.00,4.50,13.33,75
6,TrinityStorm,18.00,93.33,6.00,15.56,90
7,Fireball,6.00,28.00,1.40,20.00,30
7,IceShield,12.00,22.40,2.10,10.67,60
7,HealingPulse,10.80,19.60,2.80,7.00,54
7,EnergyBlast,15.00,56.00,3.50,16.00,75
7,NatureResonance,18.00,63.00,4.20,15.00,90
7,TrinityStorm,21.40,98.00,5.60,17.50,107
8,Fireball,7.20,29.33,1.30,22.56,36
8,IceShield,14.40,23.47,1.95,12.03,72
8,HealingPulse,12.80,20.53,2.60,7.90,64
8,EnergyBlast,18.00,58.67,3.25,18.05,90
8,NatureResonance,21.40,66.00,3.90,16.92,107
8,TrinityStorm,25.80,102.67,5.20,19.74,129
9,Fireball,8.60,30.67,1.20,25.56,43
9,IceShield,17.20,24.53,1.80,13.63,86
9,HealingPulse,15.40,21.47,2.40,8.94,77
9,EnergyBlast,21.40,61.33,3.00,20.44,107
9,NatureResonance,25.80,69.00,3.60,19.17,129
9,TrinityStorm,31.00,107.33,4.80,22.36,155
10,Fireball,10.40,32.00,1.10,29.09,52
10,IceShield,20.60,25.60,1.65,15.52,103
10,HealingPulse,18.60,22.40,2.20,10.18,93
10,EnergyBlast,25.80,64.00,2.75,23.27,129
10,NatureResonance,31.00,72.00,3.30,21.82,155
10,TrinityStorm,37.20,112.00,4.40,25.45,186
